1																																																																																						
1																																																																																						
1																																																																																						
Year	Mnth	Day	LATITUDE	LONGITUDE	ELEVATION	ACMH	ACSH	AWND	DAPR	FMTM	FRGB	FRGT	MDPR	MDSF	PGTM	prcp(mm/day)	Nitrate	PSUN	SNOW	SNWD	TAVG	tmax	tmin	TOBS	TSUN	WDF1	WDF2	WDF5	WDFG	WDFM	WESD	WESF	WSF1	WSF2	WSF5	WSFG	WSFM	WT01	WT02	WT03	WT04	WT05	WT06	WT07	WT08	WT09	WT10	WT11	WT13	WT14	WT15	WT16	WT17	WT18	WT19	WT21	WT22	WV03	WV20	DAEV	DAWM	EVAP	MDEV	MDWM	MNPN	MXPN	WDMV	FRTH	GAHT	SN32	SX32	DASF	SN02	SX02	SN01	SN03	SX01	SX03	SN52	SX52	Occur	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
2000	1	25	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	21.15	0	0	47	29	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				105.76	0	12.91	8.33	1107.29
2000	1	26	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	47	25	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				211.15	0	12.64	5.61	909.62
2000	1	27	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	43	27	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				257.57	0	13.23	4.1	822.69
2000	1	28	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	49	32	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				292.66	0	13.62	2.35	720.31
2000	1	29	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	47	38	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				305.1	0	13.3	1.28	671.67
2000	1	30	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	5.14	0	0	50	40	41	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				189.87	0	11.73	3.17	771.95
2000	1	31	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	3.03	1.19	0	45	29	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				170.56	0	10.94	4.25	830.35
2000	2	1	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0.22	0	56	29	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				276.32	0	14.98	5.33	898.58
2000	2	2	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0.9	0	56	35	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				300.27	0	15.72	4.66	856.33
2000	2	3	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	3.79	0.14	0	59	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				232.76	0	16.76	5.93	929.9
