ID	year	month	day	gwdepth
00000004	2013	4	19	7.55
00000004	2013	4	20	7.55
00000004	2013	4	21	7.55
00000004	2013	4	22	7.55
00000004	2013	4	23	7.55
00000004	2013	4	24	7.55
00000004	2013	4	25	7.56
00000004	2013	4	26	7.56
00000004	2013	4	27	7.55
00000004	2013	4	28	7.55
00000004	2013	4	29	7.55
00000004	2013	4	30	7.55
00000004	2013	5	1	7.56
00000004	2013	5	2	7.56
00000004	2013	5	3	7.55
00000004	2013	5	4	7.55
00000004	2013	5	5	7.55
00000004	2013	5	6	7.43
00000004	2013	5	7	7.26
00000004	2013	5	8	7.19
00000004	2013	5	9	7.09
00000004	2013	5	10	6.94
00000004	2013	5	11	6.95
00000004	2013	5	12	6.99
00000004	2013	5	13	7
00000004	2013	5	14	7
00000004	2013	5	15	7.21
00000004	2013	5	16	7.59
00000004	2013	5	17	7.56
00000004	2013	5	18	7.52
00000004	2013	5	19	7.47
00000004	2013	5	20	7.44
00000004	2013	5	21	7.41
00000004	2013	5	22	7.43
00000004	2013	5	23	7.47
00000004	2013	5	24	7.53
00000004	2013	5	25	7.53
00000004	2013	5	26	7.51
00000004	2013	5	27	7.51
00000004	2013	5	28	7.51
00000004	2013	5	29	7.52
00000004	2013	5	30	7.51
00000004	2013	5	31	7.51
00000004	2013	6	1	7.51
00000004	2013	6	2	7.49
00000004	2013	6	3	7.51
00000004	2013	6	4	7.53
00000004	2013	6	5	7.51
00000004	2013	6	6	7.43
00000004	2013	6	7	7.37
00000004	2013	6	8	7.38
00000004	2013	6	9	7.41
00000004	2013	6	10	7.41
00000004	2013	6	11	7.44
00000004	2013	6	12	7.47
00000004	2013	6	13	7.46
00000004	2013	6	14	7.52
00000004	2013	6	15	7.58
00000004	2013	6	16	7.59
00000004	2013	6	17	7.6
00000004	2013	6	18	7.61
00000004	2013	6	19	7.64
00000004	2013	6	20	7.68
00000004	2013	6	21	7.7
00000004	2013	6	22	7.7
00000004	2013	6	23	7.72
00000004	2013	6	24	7.75
00000004	2013	6	25	7.75
00000004	2013	6	26	7.74
00000004	2013	6	27	7.75
00000004	2013	6	28	7.74
00000004	2013	6	29	7.73
00000004	2013	6	30	7.77
00000004	2013	7	1	7.81
00000004	2013	7	2	7.86
00000004	2013	7	3	7.87
00000004	2013	7	4	7.8
00000004	2013	7	5	7.7
00000004	2013	7	6	7.58
00000004	2013	7	7	7.6
00000004	2013	7	8	7.62
00000004	2013	7	9	7.63
00000004	2013	7	10	7.63
